"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ",thresholds_reached
0,0,0,1200,0
0,0,0,4800,0
0,0,0,0,0
0,0,0,1120,0
0,0,0,0,0
0,0,0,66400,0
0,0,0,0,0
0,0,0,400,0
0,0,0,152900,1
0,0,0,71400,0
0,0,0,800,0
100,0,0,0,1
0,0,0,13520,0
0,0,0,42120,0
0,40,0,38520,0
0,0,0,800,0
40,0,0,1640,1
0,0,0,1300,0
0,0,0,6440,0
0,0,0,4800,0
0,0,0,3280,0
0,0,0,0,0
0,0,0,2000,0
0,0,0,400,0
0,0,0,1900,0
0,40,0,13680,0
0,0,0,252000,1
0,0,0,18400,0
0,0,0,1800,0
0,0,0,0,0
0,0,0,1600,0
0,0,0,8000,0
0,0,0,1300,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1360,0
0,0,0,0,0
0,0,0,0,0
0,0,0,5800,0
0,0,0,760,0
0,0,0,0,0
0,0,0,0,0
0,0,0,7560,0
0,0,0,27800,0
0,0,0,3200,0
0,0,0,1300,0
0,0,0,600,0
0,0,0,1600,0
0,0,0,3800,0
0,0,0,1800,0
0,0,0,0,0
0,0,0,289400,1
0,0,0,68760,0
0,0,0,0,0
0,160,0,15280,1
40,160,0,23000,1
0,0,0,0,0
0,0,0,34600,0
0,0,0,60000,0
0,0,0,43000,0
0,0,0,6640,0
0,0,0,8800,0
0,40,0,16600,0
120,520,0,17120,1
0,240,0,6320,1
0,0,0,560,0
0,0,0,48400,0
0,0,0,1100,0
80,160,0,252000,1
0,240,0,162000,1
0,0,0,24600,0
0,0,0,4200,0
40,0,40,8920,1
320,320,0,16320,1
0,0,0,600,0
0,0,0,0,0
0,200,0,1680,1
0,280,0,520,1
0,0,0,840,0
0,0,0,220,0
0,0,0,2840,0
40,0,0,1240,1
0,0,0,0,0
0,0,0,320,0
0,0,0,3080,0
0,0,0,0,0
0,0,0,15100,0
0,0,0,52700,0
0,0,0,0,0
0,0,0,0,0
0,0,0,960,0
0,0,0,4700,0
0,0,0,0,0
0,80,0,11560,0
0,80,0,45440,0
0,0,0,960,0
0,0,0,3520,0
0,0,0,52200,0
0,0,0,400,0
0,40,0,19240,0
0,0,0,11000,0
0,0,0,13600,0
40,0,0,19360,1
0,0,0,0,0
0,0,0,0,0
0,0,0,720,0
0,0,40,40,0
0,40,0,560,0
200,280,0,2400,1
0,0,0,2720,0
0,0,0,7200,0
0,400,0,800,1
0,0,0,0,0
0,40,0,1560,0
0,0,0,24900,0
0,0,0,0,0
0,0,0,0,0
0,0,0,58600,0
0,0,0,753000,1
0,0,0,1200,0
0,0,0,6880,0
0,0,0,2900,0
0,0,0,3480,0
0,0,0,2200,0
0,80,0,1000,0
40,0,0,118000,1
0,160,0,5480,1
0,0,0,0,0
0,0,0,480,0
0,0,0,0,0
0,200,0,80,1
0,0,0,200,0
0,0,0,160,0
0,0,0,0,0
0,0,0,7120,0
0,0,0,0,0
0,80,0,9360,0
0,0,0,0,0
0,0,0,400,0
0,0,0,1000,0
0,0,0,0,0
40,0,0,160,1
0,0,0,12760,0
0,0,0,0,0
0,0,0,1000,0
0,0,0,0,0
0,0,0,1080,0
0,0,0,400,0
0,120,0,11320,1
0,0,0,6480,0
0,0,0,1200,0
0,40,0,0,0
0,200,0,240,1
0,0,0,109000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,9000,0
0,0,0,12000,0
0,0,0,13400,0
0,0,0,7680,0
0,0,0,200,0
200,160,0,240,1
40,0,0,0,1
200,400,0,4600,1
40,800,0,2080,1
40,400,0,720,1
40,1360,0,1840,1
0,0,0,0,0
0,200,0,0,1
0,40,0,1840,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,300,0
0,0,200,5200,1
100,0,0,400,1
0,0,0,5800,0
0,0,0,0,0
0,400,0,0,1
0,0,0,0,0
400,0,0,600,1
0,240,0,2360,1
0,720,0,2000,1
0,640,0,400,1
0,0,0,7080,0
0,0,0,37080,0
200,0,0,7800,1
0,0,0,6720,0
0,40,0,7720,0
0,0,0,0,0
0,0,0,5900,0
0,0,0,0,0
0,0,0,320,0
0,0,0,2840,0
0,0,0,0,0
0,0,0,1440,0
0,200,0,120,1
0,40,40,2640,0
0,0,0,360,0
0,0,0,0,0
0,40,0,0,0
0,0,0,200,0
0,80,0,0,0
0,40,0,4520,0
0,0,0,680,0
0,0,0,80,0
0,0,0,600,0
0,0,0,0,0
0,0,0,3800,0
0,0,0,0,0
40,0,0,0,1
120,80,0,400,1
0,0,0,1200,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,80,0
40,40,0,1040,1
0,40,0,5120,0
0,280,0,2160,1
0,0,0,12000,0
0,0,0,4600,0
0,0,0,640,0
0,0,0,0,0
0,200,0,0,1
0,0,0,2400,0
0,0,0,0,0
0,0,0,177000,1
0,0,0,410000,1
0,0,0,1600,0
0,0,0,0,0
0,0,0,200,0
0,0,0,6240,0
0,0,0,0,0
0,0,0,10800,0
500,0,0,200,1
200,0,0,200,1
0,40,0,4520,0
0,0,0,42200,0
0,0,0,1000,0
0,0,0,1800,0
0,0,40,0,0
0,680,0,2160,1
0,0,0,0,0
0,0,0,2000,0
0,0,0,700,0
0,0,0,13440,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,40,0,0,0
0,40,0,0,0
0,0,0,1960,0
0,0,0,0,0
0,0,0,7000,0
0,0,0,700,0
0,0,0,9800,0
0,0,0,0,0
0,0,120,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1000,0
0,0,0,0,0
0,0,0,0,0
0,80,0,3120,0
0,0,0,720,0
0,40,0,1000,0
0,40,0,80,0
0,40,0,80,0
160,40,0,1000,1
240,0,0,360,1
240,0,0,360,1
0,0,0,3280,0
0,0,0,2700,0
0,40,0,1360,0
0,0,0,80,0
0,0,0,0,0
0,40,0,3000,0
0,0,0,11160,0
0,80,0,9400,0
0,0,0,0,0
0,80,0,160,0
0,0,0,0,0
0,0,0,0,0
500,0,0,200,1
0,0,0,0,0
0,0,0,0,0
100,0,0,2500,1
40,0,0,0,1
0,0,0,240,0
0,0,0,0,0
0,0,40,0,0
0,0,0,6000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,40,40,0,0
0,0,0,12640,0
0,0,0,500,0
0,0,0,2400,0
0,0,0,300,0
0,0,0,160,0
0,0,0,0,0
0,0,100,0,1
0,0,0,0,0
0,0,0,520,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,560,0
0,0,0,80,0
0,40,0,480,0
0,0,0,160,0
0,0,0,200,0
0,0,0,12280,0
0,0,0,6280,0
0,0,0,2600,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,3300,0
0,0,0,5040,0
0,0,0,920,0
0,0,0,16480,0
0,0,0,0,0
0,0,0,15200,0
0,0,0,13720,0
0,40,0,188000,1
0,0,0,43520,0
0,0,0,880,0
0,0,0,680,0
0,0,0,39680,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,520,0
0,0,0,0,0
0,0,0,17960,0
0,0,0,0,0
0,0,0,3840,0
0,0,0,30760,0
0,0,0,1400,0
0,0,0,0,0
0,0,0,0,0
0,40,0,160,0
0,0,0,0,0
0,0,400,0,1
0,0,0,6600,0
0,0,0,560,0
0,40,0,80,0
0,0,0,0,0
0,0,0,0,0
0,40,0,5400,0
0,0,0,480,0
0,0,0,1480,0
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,200,0
0,0,0,3800,0
0,0,0,1440,0
0,0,0,2000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,200,0,6200,1
0,0,0,0,0
0,0,0,0,0
40,0,0,560,1
0,280,0,0,1
0,1880,0,0,1
0,0,0,520,0
0,100,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,320,0,0,1
0,2960,0,0,1
0,1400,0,0,1
0,0,0,1800,0
0,0,0,160,0
0,0,0,160,0
0,0,0,0,0
0,0,0,0,0
0,0,0,560,0
0,0,0,480,0
0,0,0,0,0
0,0,0,0,0
0,40,0,160,0
0,0,0,320,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,40,0,0,0
0,400,0,0,1
0,0,0,11600,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,400,0,80,1
0,0,0,720,0
0,0,0,160,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,25800,0
0,0,0,0,0
0,480,0,0,1
0,1320,0,160,1
0,0,0,5720,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1400,0
0,80,0,160,0
0,0,0,0,0
0,160,0,400,1
0,0,0,0,0
0,0,0,600,0
0,0,0,280,0
0,0,0,400,0
0,0,0,1800,0
0,240,0,0,1
0,1000,0,0,1
0,0,0,400,0
0,0,0,1800,0
0,0,0,960,0
0,0,18520,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,800,0
0,0,0,0,0
0,120,0,440,1
0,0,0,0,0
0,0,0,200,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,760,0,80,1
0,200,0,2800,1
0,0,0,1200,0
0,0,0,1500,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,100,0,0,1
0,80,0,1080,0
0,0,0,0,0
0,0,0,11160,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2520,0
0,0,0,0,0
0,0,0,320,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2560,0
0,0,0,0,0
0,0,100,0,1
0,0,0,1640,0
0,0,0,0,0
0,0,0,0,0
0,80,0,0,0
0,0,0,0,0
0,0,0,800,0
0,0,0,0,0
0,0,0,0,0
0,0,0,4800,0
0,0,0,12500,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,320,0
0,40,0,3880,0
0,80,0,12320,0
0,240,0,1040,1
0,0,0,19900,0
0,0,0,0,0
0,0,0,300,0
0,0,0,1000,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,39400,0
0,0,0,0,0
0,0,0,160,0
0,40,0,0,0
0,0,0,0,0
0,0,40,2680,0
0,160,0,20880,1
0,0,0,0,0
0,0,0,0,0
0,200,0,800,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,4400,0
0,200,0,13200,1
0,0,0,720,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,17480,0,1
0,80,0,4360,0
0,0,0,200,0
0,0,0,0,0
0,40,0,7080,0
0,0,0,0,0
0,40,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,2400,0
0,0,0,1280,0
0,40,0,3440,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,240,0
0,0,6160,0,1
0,0,0,0,0
0,0,0,7900,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,400,0
0,0,0,400,0
0,0,0,360,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,5400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,80,0
0,0,0,0,0
0,0,0,400,0
0,0,0,1400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,240,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1960,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,560,0
0,0,0,80,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,80,0
0,0,0,0,0
0,0,0,700,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,400,0
0,0,80,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
